t i n y 1,s e r v i c e _ 9
t i n y 2,s e r v i c e _ 6
t i n y 3,s e r v i c e _ 4
c l a s s i c 1,s e r v i c e _ 7
c l a s s i c 2,s e r v i c e _ 2 8
c l a s s i c 4,s e r v i c e _ 4 4 6
c l a s s i c 6,s e r v i c e _ 1
l a r g e 1,s e r v i c e _ 4 2 4
l a r g e 3,s e r v i c e _ 1 5
s t o r a g e 1,s e r v i c e _ 0
s t o r a g e 3,s e r v i c e _ 1 0
c o m p u t e 1,s e r v i c e _ 3 1
c o m p u t e 2,s e r v i c e _ 1 3 8
c o m p u t e 3,s e r v i c e _ 3
m e m o r y 2,s e r v i c e _ 2
